supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Yorba Linda Water District,1616255663.0627,1325469108.12217,2245018576.6019,-0.2800702497931695,-0.4095954831124723,0.12952523331930277,170.91380360222135,1.6933352647460458
La Verne  City of,773479071.744159,650482540.405885,952251917.69345,-0.1877369240508495,-0.3169007819049737,0.12916385785412424,169.55004629811467,1.6818604746843937
Morgan Hill  City of,758131000.0,612804000.0,977098000.0,-0.2240993226882053,-0.3728326124912752,0.1487332898030699,122.41843147427868,1.645627701702751
Lake Arrowhead Community Services District,192154586.5019,150517291.15984,226632925.99277002,-0.15213296717516653,-0.33585426521545353,0.183721298040287,80.21560447275446,1.6454660850865512
South Tahoe Public Utilities District,728330000.0,602289000.0,797060000.0,-0.0862293930193461,-0.2443617795398088,0.15813238652046271,107.25577270419534,1.6376879869602115
Redding  City of,2861390000.0,2473250000.0,3616740000.0,-0.20884829985014128,-0.3161659394924711,0.10731763964232985,231.7030364856373,1.633567087477796
Sanger  City of,636255000.0,542580000.0,726392000.0,-0.12408864635073073,-0.25304794105661954,0.1289592947058888,158.90331169723532,1.6256203357752848
Trabuco Canyon Water District,266546467.286,217342901.80900002,326177278.42700005,-0.1828171828171829,-0.3336663336663337,0.1508491508491508,115.41088296636833,1.620564241049692
Norco  City of,740399612.4294,629121350.1089001,886674318.0097001,-0.16497004887729236,-0.2904707654992466,0.12550071662195425,165.5127794238303,1.6145889338584403
East Orange County Water District,73218815.6469,62596059.1267,102480273.7915,-0.2855325914149444,-0.3891891891891892,0.1036565977742448,236.18262423364834,1.5930188770657934
Paradise Irrigation District,600500000.0,494100000.0,913600000.0,-0.34271015761821366,-0.4591725043782837,0.11646234676007006,185.101366831669,1.5844930912416333
Riverside Highland Water Company,342261304.86372,293787646.5832,442995015.0065,-0.2273924236851784,-0.33681500551673416,0.10942258183155576,206.02557903062834,1.5706070026803054
Tracy  City of,1715999110.718827,1440013053.4440641,2138000169.986571,-0.19738120940860107,-0.32646728767420585,0.12908607826560478,146.21802067439765,1.5609171673712483
Vacaville  City of,1631863946.416,1351957570.623,2152248675.335,-0.24178652535957615,-0.3718395155185466,0.13005299015897046,140.84139770904468,1.5434249093666768
La Habra  City of Public Works,857484547.17904,716205143.97465,955161770.93656,-0.1022624928358943,-0.2501739854261619,0.14791149259026765,108.82410018807276,1.542994798497228
